timestamp,city,state,resident_population,extra_percent_for_defacto,defacto_population,shelter_percent,water_liters,water_gallons,meals,people_sheltered,shelter_space_ft2
2025-12-03 09:15:27,New York City,NY,20,10,22,20.0,330,87.18,66,4,160
2025-12-03 09:16:32,Honolulu,HI,344098,30,447327,100.0,6709905,1772569.02,1341981,447327,17893080
